has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,23,0,0,0,38,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,340,0,0,11,37,18,92,1,1,0,7814,0,353,36,159,0,1,1,0,1,1,16,1,0,0,0,39,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,1,0,0,0,0,6,6,0,5,134,0,0,26,6,27,7,0,1,1,14046,0,261,119,161,20,1,1,0,0,1,11,1,0,0,0,128,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,1,0,0,6,1,0,0,61,0,0,85,5,27,46,1,1,1,3315,1,112,6,43,0,1,1,0,1,1,15,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,30,0,0,29,0,0,65,34,22,43,1,1,1,6863,16,62,4,325,0,1,0,0,0,0,23,0,0,1,3,117,0,0
1,1,1,0,0,1,1,0,1,0,0,19,12,0,248,103,0,0,37,16,48,41,1,1,1,10353,9,250,19,391,0,0,1,0,1,1,15,1,0,0,0,228,0,0
1,1,1,0,0,1,0,1,0,0,1,6,16,0,35,26,0,0,50,0,13,65,0,1,1,12246,0,139,25,337,0,1,1,0,1,1,11,1,0,1,7,272,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,1,0,0,12,2,0,0,91,0,0,30,19,33,62,0,0,1,14492,0,310,151,502,73,1,0,0,1,1,23,1,0,0,0,70,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,31,0,0,10,5,9,47,1,1,0,4197,1,47,30,104,0,0,1,0,1,1,20,1,0,1,10,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,11,0,4,56,0,0,9,34,5,52,1,1,1,9296,0,97,17,185,0,1,0,0,0,0,13,1,0,1,15,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,0,0,0,2,3,0,0,45,0,0,46,9,12,95,1,1,1,1396,0,77,9,139,0,1,1,0,0,0,18,1,0,0,0,59,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,7,0,0,0,122,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,0,0,19,0,0,236,0,0,13,56,18,0,1,1,1,10352,0,315,169,771,2,1,0,0,1,0,17,1,0,0,0,75,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,2,53,0,1,0,321,0,12,13,14,0,0,0,0,1,0,4,0,0,0,0,12,0,0
1,1,1,0,0,1,0,0,0,0,0,1,6,0,0,19,0,0,8,2,3,18,1,1,1,3561,3,48,10,160,0,1,1,0,0,1,15,1,0,0,0,57,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,19,16,15,13,1,1,0,3299,0,76,10,99,0,1,1,0,0,0,33,1,0,0,0,25,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,7,2,9,8,19,51,1,1,1,1940,0,64,0,111,0,1,1,0,0,1,20,0,0,0,0,50,1,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,13,0,0,51,1,0,1,699,0,24,0,24,0,1,0,0,0,0,9,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,13,23,4,71,0,1,1,4581,0,62,2,43,0,0,0,0,0,0,8,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,1,0,0,6,6,0,5,55,0,0,44,1,71,100,0,1,1,5449,0,130,37,360,0,1,1,0,0,1,36,0,0,0,0,43,0,0
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,8,6,0,0,0,255,0,21,1,13,0,0,1,0,0,0,13,0,0,0,0,8,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,1,1,0,0,13,34,0,0,187,5,5,25,75,47,38,1,1,1,18186,1,196,10,139,5,1,1,0,1,0,9,1,0,1,20,29,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,1,1,0,0,7,6,0,0,64,0,0,7,16,3,25,1,1,1,6415,1,114,3,111,3,1,1,0,0,0,18,1,0,1,1,61,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,1,0,0,13,0,0,0,0,0,0,8,0,5,38,0,0,0,2080,0,6,1,231,0,0,1,0,0,1,21,0,0,0,0,32,0,1
1,1,1,0,0,1,0,0,1,0,0,2,1,0,0,159,0,0,25,51,30,18,1,1,1,6625,0,170,25,137,0,1,1,0,1,1,22,1,0,0,0,34,0,0
1,1,1,0,0,1,0,0,0,0,0,2,20,0,0,42,0,0,14,11,19,39,1,1,1,4425,0,60,9,167,0,1,1,0,0,1,19,1,0,0,0,55,0,0
1,1,1,0,1,1,0,0,0,0,0,3,2,0,0,31,0,0,10,22,15,62,1,1,1,2254,0,62,16,62,0,1,1,0,0,1,14,1,0,0,0,36,0,0
1,1,1,0,0,1,0,0,0,0,0,19,19,0,0,244,0,0,44,16,12,43,0,1,1,31581,1,498,37,1187,0,1,1,1,1,1,23,1,0,1,111,60,0,0
1,1,1,0,1,1,0,0,0,0,0,2,1,0,0,76,0,0,16,18,8,21,0,1,1,3687,0,103,13,188,0,1,1,0,1,1,14,1,0,1,1,12,0,0
1,1,0,0,1,1,1,0,1,0,0,15,0,0,0,60,0,0,6,41,14,50,1,1,0,9546,0,228,46,208,0,1,1,0,0,1,17,1,0,0,0,121,0,0
1,1,1,0,1,1,1,1,1,0,0,19,9,0,0,65,0,0,30,11,56,68,1,0,1,82371,6,288,37,735,0,0,1,0,1,1,5,1,1,0,0,31,0,0
1,1,1,1,1,1,0,0,1,0,0,25,8,2,0,192,0,0,17,39,71,38,0,1,1,17538,5,361,86,1143,81,1,1,0,1,1,20,1,0,0,0,137,0,0
1,1,1,0,1,1,0,1,1,0,1,19,56,0,338,157,0,0,12,21,15,49,1,1,1,16800,0,258,29,249,23,1,0,0,1,1,9,1,0,0,1,43,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,3,7,3,35,1,1,0,2884,0,13,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,179,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,2,2,0,0,26,0,0,28,30,9,88,0,1,0,2546,0,54,29,209,0,1,1,0,1,1,23,0,0,1,48,82,0,0
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,66,0,0,41,18,27,21,1,1,0,4092,1,82,53,396,0,0,0,0,0,1,19,0,0,0,0,38,0,0
1,1,0,0,1,1,1,1,1,0,0,12,0,0,0,0,0,0,2,9,4,21,1,1,1,3879,0,28,13,62,0,0,1,0,0,1,18,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,6,0,18,67,0,0,0,1829,0,43,16,172,0,1,0,0,0,0,10,0,0,1,47,30,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,2,14,14,0,0,0,1163,0,28,14,183,0,0,0,0,1,0,16,0,0,0,0,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,1,1,0,0,0,13,7,0,0,64,0,0,17,0,4,58,1,0,1,5693,4,201,0,172,0,0,1,0,0,1,15,1,0,0,0,64,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,0,0,7,36,32,43,1,1,1,5873,0,84,141,170,0,1,0,0,0,0,32,1,0,0,0,57,0,0
1,1,1,0,0,1,0,0,1,0,0,12,14,0,0,54,0,0,8,26,10,84,1,1,1,6016,1,129,16,187,0,1,1,0,0,1,12,1,0,0,0,79,0,0
1,1,1,0,1,1,0,0,0,0,0,2,4,0,0,15,5,1,22,2,14,29,1,1,1,492,0,24,1,22,0,1,1,0,0,0,19,1,0,0,0,11,1,0
1,1,1,0,0,1,1,1,1,0,0,8,3,0,15,120,0,0,16,5,53,48,0,1,1,33136,1,906,7,783,0,1,1,0,1,0,11,1,0,0,0,1315,0,0
1,1,1,0,0,1,0,0,0,0,0,1,9,0,0,46,0,2,13,261,18,50,0,0,0,9404,9,199,207,771,0,1,0,0,0,1,16,0,0,0,0,197,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,1,0,0,10,4,0,0,244,0,0,17,20,29,61,1,1,0,11378,4,337,26,310,0,1,1,0,0,1,43,1,0,1,65,57,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,1,0,0,0,5,2,0,0,25,0,0,4,0,9,58,1,1,1,1761,0,34,1,115,0,0,1,0,1,1,5,1,0,0,0,10,0,0
1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,46,0,0,12,27,17,16,1,1,0,4813,0,99,11,65,0,1,1,0,0,1,19,1,0,0,0,45,0,0
1,1,0,0,1,1,0,0,1,0,0,8,0,0,0,34,8,8,8,7,11,81,1,1,1,6296,0,353,7,102,0,1,1,0,0,0,3,1,0,0,0,13,3,0
1,1,1,0,0,1,0,0,1,0,0,14,7,0,0,155,0,0,53,12,71,49,1,1,1,6345,0,228,35,354,0,1,1,0,1,0,33,1,0,0,0,177,0,0
1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,23,0,0,6,7,52,8,1,1,1,1979,2,58,19,95,0,1,1,0,1,1,18,1,0,1,0,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,1,0,0,3,4,0,0,78,0,0,19,3,23,28,0,0,1,3520,1,94,10,81,11,1,1,0,1,1,20,1,0,1,6,14,0,0
1,0,1,0,0,1,0,0,0,0,1,0,4,0,0,166,0,0,24,25,22,59,1,1,1,9266,3,168,15,212,0,1,0,0,1,0,23,1,0,1,14,132,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,1,1,0,0,8,1,0,0,106,0,0,8,39,52,60,0,0,1,12299,0,226,46,620,4,0,1,0,0,1,9,1,0,1,116,108,0,0
1,0,1,0,0,1,0,0,0,0,0,0,18,0,0,120,0,0,7,12,10,45,1,1,1,7384,0,141,11,228,0,1,0,0,0,0,5,0,0,1,6,22,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,0,0,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,1,8,0,0,201,0,0,40,22,61,61,1,1,1,10386,0,240,54,230,0,1,0,0,1,0,24,1,0,0,0,77,0,0
1,1,1,0,1,1,0,0,1,0,0,60,4,0,63,36,12,26,52,26,67,21,1,1,0,13699,4,56,43,418,5,0,1,0,1,1,24,0,0,0,0,61,4,0
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,8,6,0,0,0,241,0,18,2,13,0,0,1,0,0,0,4,0,0,0,0,10,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,118,0,0,15,44,21,57,0,1,0,15403,0,310,83,561,0,1,1,0,0,0,16,1,0,1,48,252,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,1,2,7,0,0,10,0,0,91,68,25,50,0,1,1,11630,0,108,101,278,13,1,1,0,0,0,10,1,0,0,1,109,0,0
1,1,1,0,0,1,0,0,0,0,0,1,6,0,0,144,0,0,39,16,15,40,1,1,1,10110,0,175,14,334,2,1,0,0,1,1,16,1,0,1,0,122,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,3,1,2,32,0,0,0,362,0,10,1,14,0,0,1,0,0,1,4,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0,4,10,0,0,119,0,0,98,20,34,61,1,1,1,5443,2,150,2,296,0,1,1,0,0,1,20,0,0,1,5,97,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,8,1,0,0,127,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,1,8,0,0,18,0,0,17,1,47,15,1,0,0,1812,8,73,34,118,0,1,1,0,0,1,6,1,0,0,0,9,0,0
1,1,1,0,1,1,1,1,1,0,0,12,1,0,0,201,0,2,3,6,27,38,1,1,0,11136,0,476,34,482,0,0,1,0,0,1,10,0,0,0,0,131,1,0
1,1,1,0,0,1,0,0,0,0,0,2,19,0,0,306,0,0,10,41,15,17,1,1,0,34433,6,378,41,350,0,1,1,0,1,1,27,1,0,1,163,788,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,1,0,0,5,116,0,54,325,0,0,15,2,29,65,1,1,1,6222,0,96,8,446,0,1,1,0,0,1,14,1,0,0,0,216,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,7,0,0,0,42,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,10,32,22,9,1,1,1,4344,0,87,27,180,0,0,1,0,0,0,4,1,0,0,0,28,0,0
1,0,1,0,0,1,0,0,0,0,0,0,13,0,0,57,0,0,30,8,25,16,1,1,1,3073,11,69,11,166,3,1,0,0,1,0,23,1,0,0,0,31,0,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,40,0,0,3,22,27,15,0,0,1,2600,0,132,43,158,0,0,1,0,1,1,11,0,0,0,0,2,0,0
1,1,1,0,0,1,1,1,1,0,0,17,6,0,0,150,0,0,17,260,10,93,0,1,0,12918,3,1020,865,1033,0,1,1,0,0,1,32,0,0,0,0,1691,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,1,1,0,0,11,66,0,0,55,0,0,113,2,74,59,0,0,1,15852,3,284,43,797,0,1,1,0,1,1,12,0,0,0,0,244,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,25,0,0,9,11,6,4,1,1,1,3393,0,56,19,104,0,1,0,0,0,0,25,1,0,0,0,20,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,9,12,14,55,1,0,0,2629,0,20,4,20,0,1,0,0,0,0,4,1,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
